month,ccaa,band,median_eur_kWh,mean_eur_kWh,n
2025-09,Andalucía,AC,0.39,0.37828505357142855,1120
2025-09,Andalucía,DC,0.47,0.4821049812533476,1867
2025-09,Aragón,AC,0.39,0.3853213367609255,389
2025-09,Aragón,DC,0.48,0.48734335839598997,798
2025-09,Asturias,AC,0.42,0.41195121951219515,246
2025-09,Asturias,DC,0.48,0.48636029411764703,272
2025-09,Canarias,AC,0.39,0.3695081967213115,183
2025-09,Canarias,DC,0.45,0.4832312925170068,294
2025-09,Cantabria,AC,0.34,0.34891428571428573,175
2025-09,Cantabria,DC,0.5,0.49782608695652175,138
2025-09,Castilla y León,AC,0.39,0.37822494089834513,1692
2025-09,Castilla y León,DC,0.47,0.4858708487084871,2710
2025-09,Castilla-La Mancha,AC,0.4,0.3954902973395931,1278
2025-09,Castilla-La Mancha,DC,0.47,0.48710940825883353,2349
2025-09,Cataluña,AC,0.39,0.3854129263913824,1114
2025-09,Cataluña,DC,0.47,0.47359392575928005,1778
2025-09,Ceuta,AC,0.25,0.25,1
2025-09,Comunidad Valenciana,AC,0.39,0.36495726495726494,702
2025-09,Comunidad Valenciana,DC,0.47,0.47168259717314487,1132
2025-09,Comunidad de Madrid,AC,0.4,0.39064461538461537,910
2025-09,Comunidad de Madrid,DC,0.47,0.4825524222704266,1383
2025-09,Extremadura,AC,0.39,0.38248447204968944,322
2025-09,Extremadura,DC,0.47,0.48611390284757117,597
2025-09,Galicia,AC,0.4,0.40623655913978496,279
2025-09,Galicia,DC,0.47,0.4705823863636364,704
2025-09,Illes Balears,AC,0.39,0.38483870967741934,155
2025-09,Illes Balears,DC,0.47,0.4876960784313725,204
2025-09,La Rioja,AC,0.39,0.3878125,64
2025-09,La Rioja,DC,0.5,0.4913675213675214,117
2025-09,Navarra,AC,0.39,0.38784860557768924,251
2025-09,Navarra,DC,0.47,0.48763157894736847,532
2025-09,País Vasco,AC,0.38,0.37050541516245483,277
2025-09,País Vasco,DC,0.47,0.4893623188405797,483
2025-09,Región de Murcia,AC,0.39,0.3851470588235294,340
2025-09,Región de Murcia,DC,0.47,0.46703363914373086,654
