month,ccaa,AC,DC
2025-09,Andalucía,0.3782850535714285,0.4821049812533476
2025-09,Aragón,0.3853213367609255,0.4873433583959899
2025-09,Asturias,0.4119512195121951,0.486360294117647
2025-09,Canarias,0.3695081967213115,0.4832312925170068
2025-09,Cantabria,0.3489142857142857,0.4978260869565217
2025-09,Castilla y León,0.3782249408983451,0.4858708487084871
2025-09,Castilla-La Mancha,0.3954902973395931,0.4871094082588335
2025-09,Cataluña,0.3854129263913824,0.47359392575928
2025-09,Ceuta,0.25,
2025-09,Comunidad Valenciana,0.3649572649572649,0.4716825971731448
2025-09,Comunidad de Madrid,0.3906446153846153,0.4825524222704266
2025-09,Extremadura,0.3824844720496894,0.4861139028475711
2025-09,Galicia,0.4062365591397849,0.4705823863636364
2025-09,Illes Balears,0.3848387096774193,0.4876960784313725
2025-09,La Rioja,0.3878125,0.4913675213675214
2025-09,Navarra,0.3878486055776892,0.4876315789473684
2025-09,País Vasco,0.3705054151624548,0.4893623188405797
2025-09,Región de Murcia,0.3851470588235294,0.4670336391437308
