month,ccaa,AC,DC
2025-09,Andalucía,0.39,0.47
2025-09,Aragón,0.39,0.48
2025-09,Asturias,0.42,0.48
2025-09,Canarias,0.39,0.45
2025-09,Cantabria,0.34,0.5
2025-09,Castilla y León,0.39,0.47
2025-09,Castilla-La Mancha,0.4,0.47
2025-09,Cataluña,0.39,0.47
2025-09,Ceuta,0.25,
2025-09,Comunidad Valenciana,0.39,0.47
2025-09,Comunidad de Madrid,0.4,0.47
2025-09,Extremadura,0.39,0.47
2025-09,Galicia,0.4,0.47
2025-09,Illes Balears,0.39,0.47
2025-09,La Rioja,0.39,0.5
2025-09,Navarra,0.39,0.47
2025-09,País Vasco,0.38,0.47
2025-09,Región de Murcia,0.39,0.47
